12d,Holcus lanatus,0.54,0.23,0.21,1.16,0.08,0.06,0.19,0.04,0.48,1.14,0,0,0,0
14/2a,Holcus lanatus,0,0,0,0,0,0,0,0,0,1.26,0,0,0,0
14/2b,Holcus lanatus,0,0,1.04,0,0,0,0.88,0,0.32,0.24,0,0,0.1,0
14/2c,Holcus lanatus,0,0,0,0.12,0,0,0,0,2.03,5.87,0,0,0,0
14/2d,Holcus lanatus,2.37,0,0.41,0.86,0,0.24,0.63,0.82,11.87,16.1,0,0.4,0.1,0
15a,Holcus lanatus,1.03,0.03,0,0.32,0.14,0.91,0,0.74,3.83,1.14,0,0,0,0
15b,Holcus lanatus,0.21,0.09,12.1,6.62,1.81,3.11,5.38,2.72,3.68,12.05,0,0,0,0
15c,Holcus lanatus,2.06,0,10.12,4.57,0,6.2,0.1,0,1.48,7.03,0,0,0,0
15d,Holcus lanatus,0.47,0.07,2.33,0.62,2.04,0,0,0,0,0.7,0,0,0,0
16a,Holcus lanatus,2.68,0,1.99,0,0,0.07,0,0,2.75,0.86,0,0,0,0
16b,Holcus lanatus,0,0.33,2.25,0.07,0.35,2.2,0.65,0.01,0.47,17.22,0,0.4,0,0
16c,Holcus lanatus,0,0.03,3.48,3.89,7.61,1.98,0.12,0.15,3.8,12.51,0,0,0,0
16d,Holcus lanatus,1.61,0.28,5.7,3.55,8.84,5.28,1.11,1.01,5.76,8.01,0,3,0,0
17a,Holcus lanatus,0.19,0,2.76,2.04,0.21,1.46,0,0.02,2.72,1.05,0,0,0,0
17b,Holcus lanatus,2.11,2.45,2.54,1.42,1.18,1.36,1.21,0.36,0.91,1.47,0,3.8,0,0
17c,Holcus lanatus,1.08,1.67,0.75,1.36,0.49,0.7,0.06,0.22,1.13,1.4,0,0,0,0
17d,Holcus lanatus,1.46,3.44,5.81,3.67,1.82,3.85,0.99,2.02,5.93,3.32,0,2.7,0,0
18a,Holcus lanatus,0.1,0,0,0.41,0.2,0.58,0,0,0,0.62,0,0,0,0
18b,Holcus lanatus,0.03,0,0.66,0.37,0.07,0,0,1.45,0.32,2.13,0,0,0,0
18c,Holcus lanatus,0.95,6.84,13.87,7.69,3.05,6.9,2.56,1.48,8.93,9.95,0.8,0,0,0
18d,Holcus lanatus,0.51,6.17,11.68,0.42,0,0.54,0,0,0,0.46,0,0,0,0
