year,plot,species,comp
1991,1a,Achillea millefolium,4.41
1992,1a,Achillea millefolium,2.13
1993,1a,Achillea millefolium,0.75
1994,1a,Achillea millefolium,0.26
1995,1a,Achillea millefolium,2.82
1996,1a,Achillea millefolium,1.14
1997,1a,Achillea millefolium,1.14
1998,1a,Achillea millefolium,0.35
1999,1a,Achillea millefolium,0.02
2000,1a,Achillea millefolium,0.51
1991,1a,Agrostis capillaris,10.9
1992,1a,Agrostis capillaris,10.22
1993,1a,Agrostis capillaris,7.05
1994,1a,Agrostis capillaris,7.35
1995,1a,Agrostis capillaris,9.62
1996,1a,Agrostis capillaris,10.28
1997,1a,Agrostis capillaris,0.47
1998,1a,Agrostis capillaris,6.99
1999,1a,Agrostis capillaris,4.75
2000,1a,Agrostis capillaris,5.32
1992,1a,Alopecurus pratensis,0.6
1993,1a,Alopecurus pratensis,1.5
1994,1a,Alopecurus pratensis,0.99
1995,1a,Alopecurus pratensis,0.47
1996,1a,Alopecurus pratensis,0.93
1997,1a,Alopecurus pratensis,2.18
1998,1a,Alopecurus pratensis,3.5
1999,1a,Alopecurus pratensis,0.76
2000,1a,Alopecurus pratensis,1.27
1991,1a,Anthoxanthum odoratum,1.31
1992,1a,Anthoxanthum odoratum,0.6
1993,1a,Anthoxanthum odoratum,8.29
1994,1a,Anthoxanthum odoratum,3.18
1995,1a,Anthoxanthum odoratum,1.52
1996,1a,Anthoxanthum odoratum,3.22
1997,1a,Anthoxanthum odoratum,0.36
1998,1a,Anthoxanthum odoratum,2.03
1999,1a,Anthoxanthum odoratum,0.99
2000,1a,Anthoxanthum odoratum,0.92
1991,1a,Arrhenatherum elatius,0.22
1992,1a,Arrhenatherum elatius,0.77
1993,1a,Arrhenatherum elatius,4.95
1994,1a,Arrhenatherum elatius,7.09
1995,1a,Arrhenatherum elatius,0.68
1996,1a,Arrhenatherum elatius,3.58
1997,1a,Arrhenatherum elatius,10.19
1998,1a,Arrhenatherum elatius,0.04
1999,1a,Arrhenatherum elatius,3.4
2000,1a,Arrhenatherum elatius,2.15
1991,1a,Briza media,0.42
1993,1a,Briza media,0.49
1994,1a,Briza media,0.16
1996,1a,Briza media,0.1
1998,1a,Briza media,0.18
1999,1a,Briza media,0.11
1991,1a,Centaurea nigra,2.68
1992,1a,Centaurea nigra,2.3
1993,1a,Centaurea nigra,7.42
1994,1a,Centaurea nigra,2.5
1995,1a,Centaurea nigra,26.19
1996,1a,Centaurea nigra,3.43
1997,1a,Centaurea nigra,2.13
1998,1a,Centaurea nigra,7.1
1999,1a,Centaurea nigra,0.44
2000,1a,Centaurea nigra,17.05
1993,1a,Cerastium fontanum,0.19
1994,1a,Cerastium fontanum,0.36
1995,1a,Cerastium fontanum,7.06
1996,1a,Cerastium fontanum,0.05
1997,1a,Cerastium fontanum,0.05
1998,1a,Cerastium fontanum,0.52
1999,1a,Cerastium fontanum,0.4
2000,1a,Cerastium fontanum,1.33
1991,1a,Conopodium majus,0.08
1992,1a,Conopodium majus,0.34
1993,1a,Conopodium majus,0.26
1994,1a,Conopodium majus,1.15
1995,1a,Conopodium majus,1.1
1996,1a,Conopodium majus,1.14
1997,1a,Conopodium majus,0.16
1991,1a,Crepis capillaris,0.12
1992,1a,Crepis capillaris,0.09
1991,1a,Dactylis glomerata,36.89
1992,1a,Dactylis glomerata,8.86
1993,1a,Dactylis glomerata,8.32
1994,1a,Dactylis glomerata,8.34
1995,1a,Dactylis glomerata,5.28
1996,1a,Dactylis glomerata,10.49
1997,1a,Dactylis glomerata,5.77
1998,1a,Dactylis glomerata,1.1
1999,1a,Dactylis glomerata,1.98
2000,1a,Dactylis glomerata,1.46
1992,1a,Festuca pratensis,2.3
1991,1a,Festuca rubra,6.9
1992,1a,Festuca rubra,6.73
1993,1a,Festuca rubra,24.6
1994,1a,Festuca rubra,5.78
1995,1a,Festuca rubra,8.15
1996,1a,Festuca rubra,29.18
1997,1a,Festuca rubra,50.31
1998,1a,Festuca rubra,47.78
1999,1a,Festuca rubra,40.15
2000,1a,Festuca rubra,32.15
1991,1a,Helictotrichon pubescens,1.4
1992,1a,Helictotrichon pubescens,15.33
1993,1a,Helictotrichon pubescens,7.99
1994,1a,Helictotrichon pubescens,3.54
1995,1a,Helictotrichon pubescens,2.4
1996,1a,Helictotrichon pubescens,11.16
1997,1a,Helictotrichon pubescens,4.63
1998,1a,Helictotrichon pubescens,11.42
1999,1a,Helictotrichon pubescens,28.95
2000,1a,Helictotrichon pubescens,16.85
1991,1a,Holcus lanatus,0.68
1992,1a,Holcus lanatus,1.28
1993,1a,Holcus lanatus,2.74
1994,1a,Holcus lanatus,2.87
1995,1a,Holcus lanatus,0.78
1996,1a,Holcus lanatus,1.77
1997,1a,Holcus lanatus,0.1
1998,1a,Holcus lanatus,4.48
1999,1a,Holcus lanatus,1.59
2000,1a,Holcus lanatus,7.93
1996,1a,Knautia arvensis,3.48
1998,1a,Knautia arvensis,10.6
1991,1a,Lathyrus pratensis,0.03
1992,1a,Lathyrus pratensis,0.09
1993,1a,Lathyrus pratensis,0.07
1994,1a,Lathyrus pratensis,0.16
1996,1a,Lathyrus pratensis,0.26
1996,1a,Leontodon autumnalis,0.1
1991,1a,Leontodon hispidus,12.5
1992,1a,Leontodon hispidus,5.54
1993,1a,Leontodon hispidus,10.35
1994,1a,Leontodon hispidus,15.37
1995,1a,Leontodon hispidus,15.63
1996,1a,Leontodon hispidus,4.41
1997,1a,Leontodon hispidus,9.72
1998,1a,Leontodon hispidus,0.6
1999,1a,Leontodon hispidus,3.04
2000,1a,Leontodon hispidus,5.08
1991,1a,Lotus corniculatus,0.64
1992,1a,Lotus corniculatus,0.6
1993,1a,Lotus corniculatus,0.04
1995,1a,Lotus corniculatus,0.1
1996,1a,Lotus corniculatus,0.42
1997,1a,Lotus corniculatus,0.62
1991,1a,Luzula campestris,0.04
1992,1a,Luzula campestris,0.09
1993,1a,Luzula campestris,0.11
1995,1a,Luzula campestris,0.16
1996,1a,Luzula campestris,0.67
1997,1a,Luzula campestris,0.05
1998,1a,Luzula campestris,0.24
1999,1a,Luzula campestris,0.95
2000,1a,Luzula campestris,2.21
1991,1a,Pimpinella saxifraga,0.03
1992,1a,Pimpinella saxifraga,0.17
1993,1a,Pimpinella saxifraga,0.3
1994,1a,Pimpinella saxifraga,0.26
1995,1a,Pimpinella saxifraga,0.78
1996,1a,Pimpinella saxifraga,0.05
1997,1a,Pimpinella saxifraga,0.21
1998,1a,Pimpinella saxifraga,0.3
1999,1a,Pimpinella saxifraga,0.08
2000,1a,Pimpinella saxifraga,1.65
1991,1a,Plantago lanceolata,16.97
1992,1a,Plantago lanceolata,37.05
1993,1a,Plantago lanceolata,10.39
1994,1a,Plantago lanceolata,16.57
1995,1a,Plantago lanceolata,7.68
1996,1a,Plantago lanceolata,6.13
1997,1a,Plantago lanceolata,0.47
1998,1a,Plantago lanceolata,0.79
1999,1a,Plantago lanceolata,6.03
2000,1a,Plantago lanceolata,0.28
1991,1a,Poa pratensis,0.19
1992,1a,Poa pratensis,2.73
1993,1a,Poa pratensis,0.22
1994,1a,Poa pratensis,0.1
1995,1a,Poa pratensis,3.66
1996,1a,Poa pratensis,5.71
1997,1a,Poa pratensis,6.39
1998,1a,Poa pratensis,0.19
1999,1a,Poa pratensis,0.22
2000,1a,Poa pratensis,0.21
2000,1a,Poa trivialis,0.03
1991,1a,Ranunculus acris,0.1
1992,1a,Ranunculus acris,0.94
1993,1a,Ranunculus acris,0.07
1994,1a,Ranunculus acris,0.52
1995,1a,Ranunculus acris,0.94
1996,1a,Ranunculus acris,0.52
1998,1a,Ranunculus acris,0.08
1999,1a,Ranunculus acris,1.48
2000,1a,Ranunculus acris,0.24
1996,1a,Ranunculus auricomus,0.26
1991,1a,Ranunculus bulbosus,0.01
1997,1a,Ranunculus bulbosus,0.05
1991,1a,Rumex acetosa,0.25
1992,1a,Rumex acetosa,0.51
1993,1a,Rumex acetosa,3.22
1994,1a,Rumex acetosa,20.27
1995,1a,Rumex acetosa,1.67
1996,1a,Rumex acetosa,0.78
1997,1a,Rumex acetosa,0.16
1998,1a,Rumex acetosa,1.64
1999,1a,Rumex acetosa,1.16
2000,1a,Rumex acetosa,2.65
1991,1a,Sanguisorba minor,0.01
1992,1a,Sanguisorba minor,0.09
1993,1a,Sanguisorba minor,0.04
1996,1a,Sanguisorba minor,0.05
1997,1a,Sanguisorba minor,4.83
1991,1a,Taraxacum officinale,0.07
1992,1a,Taraxacum officinale,0.26
1993,1a,Taraxacum officinale,0.11
1994,1a,Taraxacum officinale,0.68
1995,1a,Taraxacum officinale,0.05
1996,1a,Taraxacum officinale,0.67
1998,1a,Taraxacum officinale,0.06
1999,1a,Taraxacum officinale,0.75
2000,1a,Taraxacum officinale,0.5
1994,1a,Tragopogon pratensis,1.77
1999,1a,Tragopogon pratensis,2.66
2000,1a,Tragopogon pratensis,0.21
1991,1a,Trifolium pratense,0.05
1992,1a,Trifolium pratense,0.34
1993,1a,Trifolium pratense,0.52
1995,1a,Trifolium pratense,0.05
1999,1a,Trifolium pratense,0.11
1991,1a,Trifolium repens,0.01
1992,1a,Trifolium repens,0.09
1991,1a,Trisetum flavescens,3.1
1994,1a,Trisetum flavescens,0.73
1995,1a,Trisetum flavescens,3.19
1998,1a,Trisetum flavescens,0.01
1991,1b,Festuca rubra,29.09
1991,1b,Dactylis glomerata,20.12
1991,1b,Centaurea nigra,15.16
1991,1b,Agrostis capillaris,10.92
1991,1b,Leontodon hispidus,6.17
1991,1b,Plantago lanceolata,5.95
1991,1b,Briza media,2.27
1991,1b,Achillea millefolium,2.09
1991,1b,Conopodium majus,1.89
1991,1b,Rumex acetosa,1.47
1991,1b,Crepis capillaris,0.89
1991,1b,Trisetum flavescens,0.84
1991,1b,Sanguisorba minor,0.44
1991,1b,Helictotrichon pubescens,0.41
1991,1b,Tragopogon pratensis,0.4
1991,1b,Taraxacum officinale,0.37
1991,1b,Lotus corniculatus,0.26
1991,1b,Anthoxanthum odoratum,0.25
1991,1b,Arrhenatherum elatius,0.2
1991,1b,Holcus lanatus,0.17
1991,1b,Alopecurus pratensis,0.16
1991,1b,Lathyrus pratensis,0.16
1991,1b,Luzula campestris,0.13
1991,1b,Pimpinella saxifraga,0.12
1991,1b,Ranunculus acris,0.09
1992,1b,Agrostis capillaris,29.25
1992,1b,Festuca rubra,25.59
1992,1b,Centaurea nigra,14.49
1992,1b,Leontodon hispidus,7.38
1992,1b,Plantago lanceolata,6.77
1992,1b,Dactylis glomerata,4.2
1992,1b,Achillea millefolium,2.57
1992,1b,Conopodium majus,2.23
1992,1b,Tragopogon pratensis,1.42
1992,1b,Knautia arvensis,1.35
1992,1b,Helictotrichon pubescens,1.08
1992,1b,Rumex acetosa,0.88
1992,1b,Briza media,0.61
1992,1b,Anthoxanthum odoratum,0.54
1992,1b,Arrhenatherum elatius,0.41
1992,1b,Holcus lanatus,0.34
1992,1b,Ranunculus acris,0.27
1992,1b,Poa pratensis,0.14
1992,1b,Luzula campestris,0.14
1992,1b,Pimpinella saxifraga,0.14
1992,1b,Taraxacum officinale,0.14
1992,1b,Lolium perenne,0.07
1993,1b,Festuca rubra,27.41
1993,1b,Plantago lanceolata,19.05
1993,1b,Holcus lanatus,10.65
1993,1b,Centaurea nigra,9.36
1993,1b,Dactylis glomerata,9.21
1993,1b,Anthoxanthum odoratum,4.77
1993,1b,Agrostis capillaris,4.33
1993,1b,Leontodon hispidus,4.22
1993,1b,Alopecurus pratensis,4.07
1993,1b,Helictotrichon pubescens,2.33
1993,1b,Conopodium majus,1.15
1993,1b,Ranunculus acris,1.15
1993,1b,Achillea millefolium,0.74
1993,1b,Taraxacum officinale,0.44
1993,1b,Rumex acetosa,0.3
1993,1b,Knautia arvensis,0.26
1993,1b,Briza media,0.22
1993,1b,Lathyrus pratensis,0.18
1993,1b,Trifolium pratense,0.07
1993,1b,Sanguisorba minor,0.07
1994,1b,Plantago lanceolata,22.74
1994,1b,Centaurea nigra,14.71
1994,1b,Agrostis capillaris,12.95
1994,1b,Dactylis glomerata,11.61
1994,1b,Festuca rubra,7.87
1994,1b,Rumex acetosa,5.24
1994,1b,Helictotrichon pubescens,4.65
1994,1b,Leontodon hispidus,3.58
1994,1b,Holcus lanatus,3.26
1994,1b,Tragopogon pratensis,3.21
1994,1b,Anthoxanthum odoratum,3
1994,1b,Achillea millefolium,1.82
1994,1b,Ranunculus acris,1.66
1994,1b,Taraxacum officinale,1.44
1994,1b,Knautia arvensis,1.12
1994,1b,Conopodium majus,0.48
1994,1b,Sanguisorba minor,0.43
1994,1b,Luzula campestris,0.16
1994,1b,Pimpinella saxifraga,0.05
1995,1b,Centaurea nigra,24.73
1995,1b,Agrostis capillaris,20.06
1995,1b,Leontodon hispidus,12.25
1995,1b,Festuca rubra,10.06
1995,1b,Anthoxanthum odoratum,9.7
1995,1b,Plantago lanceolata,6.8
1995,1b,Dactylis glomerata,3.61
1995,1b,Helictotrichon pubescens,3.43
1995,1b,Briza media,2.01
1995,1b,Poa pratensis,1.83
1995,1b,Achillea millefolium,1.48
1995,1b,Pimpinella saxifraga,1.3
1995,1b,Tragopogon pratensis,1.3
1995,1b,Ranunculus acris,0.41
1995,1b,Conopodium majus,0.36
1995,1b,Sanguisorba minor,0.36
1995,1b,Luzula campestris,0.12
1995,1b,Taraxacum officinale,0.12
1995,1b,Holcus lanatus,0.06
1996,1b,Agrostis capillaris,26.99
1996,1b,Festuca rubra,20.74
1996,1b,Centaurea nigra,14.16
1996,1b,Dactylis glomerata,7.38
1996,1b,Helictotrichon pubescens,5.98
1996,1b,Briza media,4.19
1996,1b,Holcus lanatus,4.12
1996,1b,Leontodon hispidus,3.86
1996,1b,Achillea millefolium,3.12
1996,1b,Anthoxanthum odoratum,2.13
1996,1b,Plantago lanceolata,1.53
1996,1b,Arrhenatherum elatius,1.4
1996,1b,Pimpinella saxifraga,1.26
1996,1b,Alopecurus pratensis,0.86
1996,1b,Luzula campestris,0.8
1996,1b,Conopodium majus,0.66
1996,1b,Taraxacum officinale,0.66
1996,1b,Poa pratensis,0.07
1996,1b,Sanguisorba minor,0.07
1997,1b,Agrostis capillaris,44.89
1997,1b,Festuca rubra,42.44
1997,1b,Centaurea nigra,5.8
1997,1b,Dactylis glomerata,3.05
1997,1b,Achillea millefolium,1.43
1997,1b,Pimpinella saxifraga,0.54
1997,1b,Leontodon hispidus,0.36
1997,1b,Anthoxanthum odoratum,0.3
1997,1b,Leontodon autumnalis,0.3
1997,1b,Conopodium majus,0.24
1997,1b,Luzula campestris,0.24
1997,1b,Holcus lanatus,0.18
1997,1b,Sanguisorba minor,0.12
1997,1b,Poa pratensis,0.06
1997,1b,Taraxacum officinale,0.06
1998,1b,Agrostis capillaris,33.56
1998,1b,Festuca rubra,24.01
1998,1b,Leontodon hispidus,12.7
1998,1b,Centaurea nigra,9.29
1998,1b,Dactylis glomerata,3.49
1998,1b,Achillea millefolium,3.27
1998,1b,Helictotrichon pubescens,2.87
1998,1b,Tragopogon pratensis,2.83
1998,1b,Pimpinella saxifraga,2.11
1998,1b,Conopodium majus,1.8
1998,1b,Briza media,1.12
1998,1b,Anthoxanthum odoratum,1.08
1998,1b,Plantago lanceolata,0.88
1998,1b,Alopecurus pratensis,0.36
1998,1b,Ranunculus acris,0.2
1998,1b,Holcus lanatus,0.16
1998,1b,Rumex acetosa,0.11
1998,1b,Taraxacum officinale,0.07
1998,1b,Luzula campestris,0.05
1998,1b,Trisetum flavescens,0.04
1999,1b,Agrostis capillaris,25.87
1999,1b,Festuca rubra,21.46
1999,1b,Helictotrichon pubescens,10.43
1999,1b,Anthoxanthum odoratum,6.25
1999,1b,Centaurea nigra,5.99
1999,1b,Holcus lanatus,5.51
1999,1b,Tragopogon pratensis,3.88
1999,1b,Leontodon hispidus,3.68
1999,1b,Dactylis glomerata,2.77
1999,1b,Alopecurus pratensis,2.73
1999,1b,Sanguisorba minor,2.66
1999,1b,Rumex acetosa,1.45
1999,1b,Arrhenatherum elatius,1.25
1999,1b,Knautia arvensis,1.18
1999,1b,Conopodium majus,0.91
1999,1b,Plantago lanceolata,0.68
1999,1b,Briza media,0.67
1999,1b,Taraxacum officinale,0.64
1999,1b,Achillea millefolium,0.62
1999,1b,Ranunculus acris,0.54
1999,1b,Pimpinella saxifraga,0.45
1999,1b,Trisetum flavescens,0.23
1999,1b,Luzula campestris,0.14
1999,1b,Cerastium fontanum,0.01
2000,1b,Agrostis capillaris,33.17
2000,1b,Festuca rubra,17.43
2000,1b,Centaurea nigra,10.36
2000,1b,Anthoxanthum odoratum,7.64
2000,1b,Holcus lanatus,6.29
2000,1b,Leontodon hispidus,5.04
2000,1b,Sanguisorba minor,3.74
2000,1b,Poa pratensis,3.01
2000,1b,Knautia arvensis,2.54
2000,1b,Helictotrichon pubescens,2.19
2000,1b,Pimpinella saxifraga,2.04
2000,1b,Leontodon autumnalis,1.21
2000,1b,Plantago lanceolata,1.12
2000,1b,Dactylis glomerata,0.94
2000,1b,Conopodium majus,0.94
2000,1b,Taraxacum officinale,0.71
2000,1b,Luzula campestris,0.54
2000,1b,Achillea millefolium,0.33
2000,1b,Lotus corniculatus,0.27
2000,1b,Alopecurus pratensis,0.18
2000,1b,Arrhenatherum elatius,0.15
2000,1b,Lathyrus pratensis,0.13
1973,1c,Poa trivialis,0.1
1973,1c,Leontodon hispidus,0.1
1973,1c,Potentilla reptans,0.1
1973,1c,Achillea millefolium,0.2
1973,1c,Linum catharticum,0.2
1973,1c,Sanguisorba minor,0.3
1973,1c,Lathyrus pratensis,0.5
1973,1c,Pimpinella saxifraga,0.7
1973,1c,Taraxacum officinale,0.7
1973,1c,Hypochoeris radicata,0.9
1973,1c,Ranunculus acris,1
1973,1c,Luzula campestris,1.1
1973,1c,Trifolium pratense,1.2
1973,1c,Holcus lanatus,1.3
1973,1c,Centaurea nigra,1.5
1973,1c,Cerastium fontanum,2.4
1973,1c,Poa pratensis,2.5
1973,1c,Rumex acetosa,2.7
1973,1c,Plantago lanceolata,4.8
1973,1c,Anthoxanthum odoratum,9.5
1973,1c,Agrostis capillaris,19.6
1973,1c,Festuca rubra,48.7
1991,1c,Agrostis capillaris,53.68
1991,1c,Festuca rubra,41.65
1991,1c,Anthoxanthum odoratum,1.59
1991,1c,Luzula campestris,1.51
1991,1c,Ranunculus bulbosus,0.81
1991,1c,Pimpinella saxifraga,0.59
1991,1c,Trifolium pratense,0.13
1991,1c,Lathyrus pratensis,0.03
1991,1c,Crepis capillaris,0.01
1992,1c,Festuca rubra,52.84
1992,1c,Agrostis capillaris,28.64
1992,1c,Centaurea nigra,7.68
1992,1c,Anthoxanthum odoratum,3.97
1992,1c,Achillea millefolium,3.03
1992,1c,Lotus corniculatus,1.92
1992,1c,Rumex acetosa,0.64
1992,1c,Luzula campestris,0.6
1992,1c,Poa trivialis,0.34
1992,1c,Lolium perenne,0.09
1992,1c,Conopodium majus,0.09
1992,1c,Holcus lanatus,0.04
1992,1c,Crepis capillaris,0.04
1992,1c,Pimpinella saxifraga,0.04
1992,1c,Taraxacum officinale,0.04
1993,1c,Festuca rubra,39.79
1993,1c,Agrostis capillaris,35.52
1993,1c,Anthoxanthum odoratum,9.19
1993,1c,Centaurea nigra,7.55
1993,1c,Rumex acetosa,3.02
1993,1c,Luzula campestris,1.71
1993,1c,Helictotrichon pubescens,1.38
1993,1c,Lotus corniculatus,0.39
1993,1c,Conopodium majus,0.33
1993,1c,Pimpinella saxifraga,0.33
1993,1c,Ranunculus acris,0.26
1993,1c,Lathyrus pratensis,0.2
1993,1c,Trifolium pratense,0.13
1993,1c,Poa pratensis,0.07
1993,1c,Achillea millefolium,0.07
1993,1c,Cerastium fontanum,0.07
1994,1c,Festuca rubra,30.88
1994,1c,Agrostis capillaris,21.38
1994,1c,Anthoxanthum odoratum,20.37
1994,1c,Centaurea nigra,13.56
1994,1c,Rumex acetosa,3.5
1994,1c,Arrhenatherum elatius,2.95
1994,1c,Ranunculus acris,2.03
1994,1c,Trifolium pratense,1.57
1994,1c,Helictotrichon pubescens,1.42
1994,1c,Achillea millefolium,1.07
1994,1c,Pimpinella saxifraga,0.46
1994,1c,Luzula campestris,0.41
1994,1c,Lathyrus pratensis,0.25
1994,1c,Poa pratensis,0.1
1994,1c,Conopodium majus,0.05
1995,1c,Agrostis capillaris,39.52
1995,1c,Festuca rubra,36.7
1995,1c,Centaurea nigra,7.88
1995,1c,Anthoxanthum odoratum,6.98
1995,1c,Dactylis glomerata,3.93
1995,1c,Rumex acetosa,2.85
1995,1c,Luzula campestris,0.77
1995,1c,Achillea millefolium,0.55
1995,1c,Pimpinella saxifraga,0.44
1995,1c,Poa pratensis,0.16
1995,1c,Poa trivialis,0.11
1995,1c,Holcus lanatus,0.05
1995,1c,Ranunculus acris,0.05
1996,1c,Festuca rubra,50.34
1996,1c,Agrostis capillaris,41.06
1996,1c,Dactylis glomerata,1.78
1996,1c,Rumex acetosa,1.74
1996,1c,Luzula campestris,1.46
1996,1c,Anthoxanthum odoratum,1.33
1996,1c,Centaurea nigra,1.05
1996,1c,Poa pratensis,0.5
1996,1c,Conopodium majus,0.41
1996,1c,Poa trivialis,0.18
1996,1c,Achillea millefolium,0.05
1996,1c,Cerastium fontanum,0.05
1996,1c,Taraxacum officinale,0.05
1997,1c,Festuca rubra,66.6
1997,1c,Agrostis capillaris,23.86
1997,1c,Centaurea nigra,6.95
1997,1c,Anthoxanthum odoratum,1.32
1997,1c,Pimpinella saxifraga,0.76
1997,1c,Achillea millefolium,0.15
1997,1c,Cerastium fontanum,0.15
1997,1c,Conopodium majus,0.1
1997,1c,Luzula campestris,0.05
1997,1c,Rumex acetosa,0.05
1998,1c,Festuca rubra,49.27
1998,1c,Agrostis capillaris,43.13
1998,1c,Dactylis glomerata,4.24
1998,1c,Centaurea nigra,1.73
1998,1c,Anthoxanthum odoratum,0.73
1998,1c,Taraxacum officinale,0.36
1998,1c,Luzula campestris,0.25
1998,1c,Pimpinella saxifraga,0.13
1998,1c,Rumex acetosa,0.1
1998,1c,Achillea millefolium,0.02
1998,1c,Cerastium fontanum,0.02
1999,1c,Festuca rubra,41.59
1999,1c,Agrostis capillaris,35.94
1999,1c,Centaurea nigra,12.17
1999,1c,Anthoxanthum odoratum,7.72
1999,1c,Holcus lanatus,0.67
1999,1c,Lotus corniculatus,0.43
1999,1c,Pimpinella saxifraga,0.34
1999,1c,Conopodium majus,0.3
1999,1c,Achillea millefolium,0.29
1999,1c,Lathyrus pratensis,0.21
1999,1c,Luzula campestris,0.2
1999,1c,Taraxacum officinale,0.09
1999,1c,Cerastium fontanum,0.03
1999,1c,Rumex acetosa,0.01
2000,1c,Festuca rubra,50.2
2000,1c,Agrostis capillaris,34.5
2000,1c,Anthoxanthum odoratum,7.19
2000,1c,Centaurea nigra,5.65
2000,1c,Achillea millefolium,1.17
2000,1c,Luzula campestris,0.75
2000,1c,Pimpinella saxifraga,0.22
2000,1c,Lathyrus pratensis,0.14
2000,1c,Holcus lanatus,0.12
2000,1c,Dactylis glomerata,0.03
2000,1c,Rumex acetosa,0.02
2000,1c,Cerastium fontanum,0.01
1973,1d,Potentilla reptans,0.6
1973,1d,Luzula campestris,1
1973,1d,Festuca rubra,2.9
1973,1d,Anthoxanthum odoratum,11.1
1973,1d,Agrostis capillaris,84.4
1991,1d,Agrostis capillaris,98.45
1991,1d,Anthoxanthum odoratum,1.28
1991,1d,Luzula campestris,0.27
1992,1d,Agrostis capillaris,80.59
1992,1d,Anthoxanthum odoratum,16.57
1992,1d,Rubus sp.,1.36
1992,1d,Luzula campestris,0.79
1992,1d,Quercus robur,0.68
1993,1d,Anthoxanthum odoratum,81.69
1993,1d,Agrostis capillaris,15.19
1993,1d,Luzula campestris,2.99
1993,1d,Festuca rubra,0.13
1994,1d,Anthoxanthum odoratum,58.8
1994,1d,Agrostis capillaris,39.26
1994,1d,Luzula campestris,1.94
1995,1d,Agrostis capillaris,71.87
1995,1d,Anthoxanthum odoratum,22.56
1995,1d,Luzula campestris,5.57
1996,1d,Agrostis capillaris,80.39
1996,1d,Anthoxanthum odoratum,19.61
1997,1d,Agrostis capillaris,95.7
1997,1d,Anthoxanthum odoratum,4.3
1998,1d,Agrostis capillaris,89.57
1998,1d,Anthoxanthum odoratum,10.36
1998,1d,Luzula campestris,0.07
1999,1d,Agrostis capillaris,82.14
1999,1d,Anthoxanthum odoratum,17.71
1999,1d,Luzula campestris,0.14
1999,1d,Ajuga reptans,0.01
2000,1d,Agrostis capillaris,64.63
2000,1d,Anthoxanthum odoratum,34.18
2000,1d,Luzula campestris,0.64
2000,1d,Festuca rubra,0.57
1996,2/2a,Leontodon hispidus,17.68
1996,2/2a,Festuca rubra,16.45
1996,2/2a,Agrostis capillaris,10.73
1996,2/2a,Dactylis glomerata,7.41
1996,2/2a,Tragopogon pratensis,5.83
1996,2/2a,Helictotrichon pubescens,5.11
1996,2/2a,Ranunculus auricomus,4.96
1996,2/2a,Sanguisorba minor,4.91
1996,2/2a,Centaurea nigra,4.8
1996,2/2a,Plantago lanceolata,4.55
1996,2/2a,Lotus corniculatus,3.27
1996,2/2a,Achillea millefolium,2.81
1996,2/2a,Briza media,2.61
1996,2/2a,Trisetum flavescens,1.84
1996,2/2a,Conopodium majus,1.84
1996,2/2a,Poa pratensis,1.02
1996,2/2a,Trifolium repens,1.02
1996,2/2a,Holcus lanatus,0.66
1996,2/2a,Ranunculus acris,0.51
1996,2/2a,Luzula campestris,0.46
1996,2/2a,Anthoxanthum odoratum,0.41
1996,2/2a,Taraxacum officinale,0.26
1996,2/2a,Ophioglossum vulgatum,0.2
1996,2/2a,Rumex acetosa,0.2
1996,2/2a,Lathyrus pratensis,0.15
1996,2/2a,Trifolium pratense,0.15
1996,2/2a,Ajuga reptans,0.1
1996,2/2a,Cerastium fontanum,0.05
1997,2/2a,Agrostis capillaris,28.01
1997,2/2a,Leontodon hispidus,18.15
1997,2/2a,Festuca rubra,16.44
1997,2/2a,Centaurea nigra,6.58
1997,2/2a,Poa pratensis,5
1997,2/2a,Dactylis glomerata,3.7
1997,2/2a,Achillea millefolium,3.7
1997,2/2a,Lotus corniculatus,3.01
1997,2/2a,Sanguisorba minor,2.67
1997,2/2a,Ranunculus bulbosus,2.67
1997,2/2a,Briza media,2.05
1997,2/2a,Trifolium pratense,1.92
1997,2/2a,Tragopogon pratensis,1.51
1997,2/2a,Trifolium repens,0.68
1997,2/2a,Holcus lanatus,0.55
1997,2/2a,Plantago lanceolata,0.55
1997,2/2a,Taraxacum officinale,0.48
1997,2/2a,Anthoxanthum odoratum,0.41
1997,2/2a,Lathyrus pratensis,0.41
1997,2/2a,Alopecurus pratensis,0.27
1997,2/2a,Helictotrichon pubescens,0.27
1997,2/2a,Agrimonia eupatoria,0.27
1997,2/2a,Conopodium majus,0.21
1997,2/2a,Ajuga reptans,0.14
1997,2/2a,Luzula campestris,0.14
1997,2/2a,Pimpinella saxifraga,0.14
1997,2/2a,Ranunculus acris,0.07
1998,2/2a,Agrostis capillaris,22.04
1998,2/2a,Festuca rubra,12.36
1998,2/2a,Leontodon hispidus,11.51
1998,2/2a,Centaurea nigra,8.79
1998,2/2a,Achillea millefolium,6.51
1998,2/2a,Helictotrichon pubescens,6.15
1998,2/2a,Plantago lanceolata,5.06
1998,2/2a,Trifolium pratense,4.7
1998,2/2a,Sanguisorba minor,4.33
1998,2/2a,Lotus corniculatus,4.02
1998,2/2a,Tragopogon pratensis,2.8
1998,2/2a,Briza media,2.77
1998,2/2a,Ranunculus bulbosus,2.54
1998,2/2a,Ranunculus acris,2.44
1998,2/2a,Dactylis glomerata,1.34
1998,2/2a,Lathyrus pratensis,0.92
1998,2/2a,Alopecurus pratensis,0.56
