,ID,Cubic,Quadratic,Gompertz
0,0,-122.2502451916796,-77.87580334583068,-154.622
1,1,-88.28427970140127,-65.632477056743,-210.677
2,2,-53.13008520751615,-28.25936615467205,-157.373
3,3,-80.74453635742599,-42.56210965717454,-82.049
4,5,-148.32196064065303,-110.23927941724682,-168.645
5,6,-109.08716043107592,-56.313045125846166,-126.798
6,7,-117.72407601743332,-82.2769808772893,-123.491
7,8,-143.23556677448218,-122.20679634360248,-147.611
8,9,-127.7163417373208,-100.12394233702416,-108.963
9,10,-125.43881139814312,-65.7494770859516,-151.785
10,11,-136.95495730563624,-95.47454290397954,-149.149
11,12,-127.20643643579598,-83.72451270199242,-177.885
12,13,-69.78761039303382,-71.43176996271437,-48.289
13,15,-79.90482436150596,-37.66314900482698,-156.926
14,17,-143.46073406847805,-143.52079697411395,-142.943
15,18,-115.7707927304976,-105.36395980445688,-115.305
16,19,-67.09843148060907,-67.59948849760544,-48.258
17,21,-147.81901879603612,-127.2856284412302,-156.061
18,22,-88.39877893653245,-55.47598808583514,-111.125
19,23,-36.13695433615516,-27.70096040423882,-132.213
20,24,-32.281608967108575,-13.91088229952834,0.778
21,25,-20.589291833967863,-6.112159808177447,3.566
22,26,-63.23615304359505,-39.262573439998064,-5.703
23,27,-72.54666875716049,-42.71472335601151,2.586
24,28,-38.82535078539389,-16.168655184741887,11.16
25,29,-40.03237561425957,-25.235242493391528,-101.357
26,30,-70.15295543821136,-61.71374540260125,-47.617
27,31,-19.28489060941395,-10.69239261595353,5.075
28,32,-31.63303790770503,-21.660650608112228,-4.021
29,33,-24.024296535780216,-12.310373307424832,-37.117
30,34,-54.636633492646126,-43.71052377796666,-5.85
31,35,-38.62517832115351,-21.60248330226848,-0.231
32,36,-16.32618696443548,-1.3012936814083282,15.423
33,37,-9.43731887061929,5.996164774316027,25.529
34,38,-28.66338914142711,-12.84981938131126,-49.753
35,39,-71.28534473258033,-50.93899317119371,-32.987
36,40,-45.12637186120334,-24.19105320912975,-18.703
37,41,-31.241202005292138,-23.92234483381352,-49.592
38,42,-47.43447045822002,-32.03026322648846,-62.618
39,43,-83.91165093476734,-41.789011422915664,-40.852
40,44,-18.89897874215624,-13.641299965406365,10.875
41,45,-55.28901479701198,-36.90220558454975,12.284
42,46,-34.31140098488554,-27.50862225046815,15.051
43,47,-20.772183989038197,-17.614120120367268,18.565
44,48,-21.731816387272463,-12.085956223256511,15.608
45,49,-20.798433345826066,-13.68865601656644,13.241
46,50,-24.601528964588127,-16.018433368630994,-28.264
47,51,-23.840332050728204,-15.47290777888406,-54.053
48,52,-27.450982953894915,-19.78521604185772,-3.165
49,53,-18.95830619124115,-14.293499479731086,4.245
50,54,-31.31356957188861,-25.65423930414728,-1.136
51,55,-38.570086292146655,-24.38413769660468,13.212
52,56,-6.860652258075506,-4.406247161274877,4.71
53,57,-10.54998408741996,-3.0809067016278444,-4.166
54,58,-12.846852343313532,-14.57803627857255,37.979
55,59,-12.57356444034572,-1.975314582154314,-47.131
56,60,-11.828612746967526,-5.317002950380633,13.112
57,61,-27.71199227069,-22.541696235466944,-4.329
58,62,-23.69454289399359,-14.014628742529116,12.334
59,63,-8.681732859490761,-5.56637449229933,4.674
60,64,-9.439537319268544,-4.519813807180503,21.841
61,65,-20.79590097735521,-13.662846115743084,-25.793
62,66,-12.830453599436892,-10.700817343569874,10.566
63,67,-5.23318964505302,-2.760694801782844,6.445
64,68,-4.494739701332179,4.259354238768924,19.964
65,69,-5.040110746822906,1.8510000220500145,11.936
66,70,24.123389111080822,26.156249354710063,36.198
67,71,-12.273652363274737,-4.510037043889195,15.579
68,72,-16.540369372743587,-9.916517751858647,9.56
69,73,-24.2272644705522,-16.79245838082656,-2.303
70,74,-15.683486186050851,-10.648524591142888,7.594
71,75,-16.409624584292473,-10.054213902870137,6.395
72,76,-29.191851978865344,-19.929689876482072,-0.085
73,77,-33.33304306499216,-22.08172054801376,-4.504
74,78,4.646806978173989,6.634276105473067,13.123
75,79,5.306520277628097,10.41651001557173,17.644
76,80,-20.49168672113325,-13.608026968496528,4.081
77,81,5.861807842405397,11.895124130455782,19.715
78,82,-2.0604461699438428,2.3620715745499115,7.751
79,83,-21.064403460940877,-15.523527532351558,-3.934
80,84,-16.280611241663284,-9.332006254150444,7.465
81,85,-3.442833133916912,-2.094655666640783,12.29
82,86,-9.532778561173815,-4.305786344595139,14.45
83,87,-13.014550395548117,-5.613212838745747,11.718
84,89,-66.65730723871903,-63.594940767593656,33.906
85,90,-121.60125226980624,-85.89555091153503,-199.145
86,91,-129.47641877527388,-121.24768562577938,-46.193
87,92,-21.70063011439493,-18.3128139141501,20.84
88,93,-34.47520257999854,-18.053960196741244,-30.14
89,94,-9.202311360245924,-5.122230190788681,-12.501
90,95,-22.93265972158,-6.295014283316487,37.746
91,96,-18.303930390184803,-4.934041056354204,29.853
92,97,-11.651451724468776,-10.907075676320812,21.433
93,98,-24.137336592802956,-13.989784617151354,21.363
94,99,-30.895009456021757,-22.34164902228743,-31.315
95,100,-19.337846275367724,-19.300874658046794,14.707
96,101,-26.365827944329546,-11.977759795718825,-24.775
97,102,-39.40340877461056,-29.158112926875788,31.266
98,103,-43.410181507035226,-17.57578296095712,30.054
99,104,-19.28086040385516,-16.92676193732833,24.117
100,105,-10.781063615979768,-9.024932289838407,-33.178
101,106,-12.618740935254593,-14.396794483080988,16.76
102,107,-37.36046907895217,-11.450858627500669,-45.267
103,108,-24.902024619858143,-26.67175280477484,-25.73
104,109,-32.83821690238592,-33.768325999265706,28.709
105,110,-27.07071569925167,-25.253627259378497,24.638
106,111,-8.528618331421121,-10.08045571267272,-27.293
107,112,-5.523611605067272,-7.314962159412536,-8.4
108,113,-32.0046444960839,-27.632772500968265,-23.447
109,114,-20.88682743189845,-13.732863625112842,35.242
110,115,-25.851061026269136,-21.571345236003268,33.293
111,116,-25.248476399974948,-18.639038445673577,26.12
112,117,-4.502509114259359,-4.154966218247814,-42.861
113,118,-5.557558812912442,-6.043705355925759,17.485
114,119,-37.79968724249503,-18.51893760504408,-45.797
115,120,-19.62759041131944,-12.564438167934185,30.19
116,121,-41.67325192849458,-38.07344505074815,27.323
117,122,-38.60013724540656,-26.505484202569814,-36.516
118,123,-14.966264630900804,-3.795461888511177,-20.749
119,124,-16.413840654582344,-13.163465259677253,12.408
120,125,-21.119187883932398,-2.9257493773558743,33.755
121,126,-18.865294661339718,-19.83488381163569,28.719
122,127,-21.70123137311792,-23.38336093834432,33.525
123,128,-12.286849933089648,-7.5378452884549425,26.915
124,129,-28.5815331101143,-12.264212225233454,-31.513
125,130,-14.559794507363996,-12.462770643741756,5.168
126,131,-23.35402191453584,-1.0222690363065476,34.029
127,132,-14.511286402448874,-10.046886844219028,27.736
128,133,-23.96137206611885,-6.74933994993836,26.984
129,134,-20.311670984056796,-13.334170866669956,19.966
130,135,-16.81265187864636,-12.015994472033988,-25.003
131,136,-17.26867053327665,-17.132452183211072,-19.134
132,137,-36.94292491692933,-17.669765494753396,-33.795
133,138,-27.82380279294322,-17.30059806301309,26.695
134,139,-21.736378848370904,-17.722066169205032,20.703
135,140,-14.017500217293833,-14.894795177379995,-12.625
136,141,-12.688376030114275,0.9038710710862948,-25.463
137,142,-15.83598512432787,0.2906765277526091,-18.649
138,143,-23.81926986558557,1.5066574003524984,36.129
139,144,-14.571610085986109,-10.73505388974882,29.985
140,145,-23.30224461146529,-15.466424075586929,24.254
